Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GAD_DISEASE	QT interval	3	1.171875	0.06456222817204163	KCNH2, KCNJ2, SCN5A	175	31	12971	7.172903225806452	1.0	0.9888071520366202	65.50827462047141
GAD_DISEASE	Arrhythmias, Cardiac|Brugada Syndrome|Cardiomyopathies|Channelopathies|Death, Sudden, Cardiac|Sudden Cardiac Death	2	0.78125	0.06530698006076338	KCNH2, SCN5A	175	5	12971	29.648	1.0	0.9861389908433259	65.94365032106681
GAD_DISEASE	Diabetes Mellitus, Type 2|Long QT Syndrome	2	0.78125	0.06530698006076338	KCNH2, SCN5A	175	5	12971	29.648	1.0	0.9861389908433259	65.94365032106681
GAD_DISEASE	Atrioventricular Block|Death, Sudden|Syncope|Torsades de Pointes	2	0.78125	0.06530698006076338	KCNH2, SCN5A	175	5	12971	29.648	1.0	0.9861389908433259	65.94365032106681
GAD_DISEASE	long-QT syndrome	2	0.78125	0.06530698006076338	KCNH2, SCN5A	175	5	12971	29.648	1.0	0.9861389908433259	65.94365032106681
GAD_DISEASE	Brugada Syndrome|Chromosome Deletion|Death, Sudden, Cardiac|Long QT Syndrome|Sudden Cardiac Death	2	0.78125	0.06530698006076338	KCNH2, SCN5A	175	5	12971	29.648	1.0	0.9861389908433259	65.94365032106681
GAD_DISEASE	Chlamydia Infections|Inflammation|Trachoma	3	1.171875	0.07206003825034091	CCR3, IL1B, IL5RA	175	33	12971	6.738181818181818	1.0	0.9886078410690816	69.66300448986344
GAD_DISEASE	Inflammation|Venous Thromboembolism	3	1.171875	0.07206003825034091	CCR3, IL1B, IL5RA	175	33	12971	6.738181818181818	1.0	0.9886078410690816	69.66300448986344
GAD_DISEASE	Brain Ischemia|Inflammation|Stroke	3	1.171875	0.07206003825034091	CCR3, IL1B, IL5RA	175	33	12971	6.738181818181818	1.0	0.9886078410690816	69.66300448986344
GAD_DISEASE	Mental Competency	4	1.5625	0.07236676893655333	GRIN2B, DOK6, EGLN3, ACSS3	175	72	12971	4.1177777777777775	1.0	0.9858501701199421	69.8225454980538
GAD_DISEASE	Tunica Media	6	2.34375	0.07708838931108389	ADORA3, CEBPE, STMND1, ST8SIA5, ABCA4, DEGS2	175	169	12971	2.631479289940829	1.0	0.9866993794016748	72.18132256607079
GAD_DISEASE	null	19	7.421875	0.07754949399618914	EGFR, NFKBIZ, GABRG3, SMAD3, KIT, DNASE1L3, CHIT1, FOXH1, SPRY2, GSTM2, GATA2, GRIN2B, CD177, HDC, CNR2, IL1B, KCNH2, PTGDR2, SCN5A	175	936	12971	1.5045726495726497	1.0	0.9840749619015694	72.40216875671159
GAD_DISEASE	Brugada Syndrome	2	0.78125	0.0778502922220831	SCN1B, SCN5A	175	6	12971	24.706666666666667	1.0	0.981082220888466	72.54534931479665
GAD_DISEASE	Long QT Syndrome|Sudden Infant Death	2	0.78125	0.0778502922220831	KCNH2, SCN5A	175	6	12971	24.706666666666667	1.0	0.981082220888466	72.54534931479665
GAD_DISEASE	Death, Sudden, Cardiac|Sudden Cardiac Death	2	0.78125	0.0778502922220831	KCNH2, SCN5A	175	6	12971	24.706666666666667	1.0	0.981082220888466	72.54534931479665
GAD_DISEASE	Cleft Lip|Cleft Palate	10	3.90625	0.08472750866961105	FOXH1, EGFR, SPRY2, TULP3, JAG2, SMAD3, ABCA4, KCNJ2, TIMP3, FOXP2	175	395	12971	1.8764556962025316	1.0	0.9841672576601003	75.63507064900747
GAD_DISEASE	Carotid Artery Diseases	4	1.5625	0.08721383861433743	TUSC1, PLXNA4, RFPL1, VLDLR	175	78	12971	3.801025641025641	1.0	0.9833443727634016	76.66952756981387
GAD_DISEASE	plasma eosinophil count	2	0.78125	0.09022623122147022	GATA2, IL1RL1	175	7	12971	21.177142857142858	1.0	0.9829842405572533	77.8677034128755
